month,work_related,topic,share_of_messages
2025-10-01,0,Writing,0.499
2025-10-01,1,Multimedia,0.444
2025-10-01,1,Other/Unknown,0.254
2025-10-01,1,Practical Guidance,0.278
2025-10-01,1,Seeking information,0.215
2025-10-01,1,Self-expression,0.068
2025-10-01,1,Technical help,0.610
2025-10-01,1,Writing,0.501
2025-11-01,0,Multimedia,0.547
2025-11-01,0,Other/Unknown,0.739
2025-11-01,0,Practical Guidance,0.720
2025-11-01,0,Seeking information,0.788
2025-11-01,0,Self-expression,0.930
2025-11-01,0,Technical help,0.394
2025-11-01,0,Writing,0.499
2025-11-01,1,Multimedia,0.453
2025-11-01,1,Other/Unknown,0.261
2025-11-01,1,Practical Guidance,0.280
2025-11-01,1,Seeking information,0.212
2025-11-01,1,Self-expression,0.070
2025-11-01,1,Technical help,0.606
2025-11-01,1,Writing,0.501
2025-12-01,0,Multimedia,0.603
2025-12-01,0,Other/Unknown,0.774
2025-12-01,0,Practical Guidance,0.748
2025-12-01,0,Seeking information,0.811
2025-12-01,0,Self-expression,0.935
2025-12-01,0,Technical help,0.393
2025-12-01,0,Writing,0.525
2025-12-01,1,Multimedia,0.397
2025-12-01,1,Other/Unknown,0.226
2025-12-01,1,Practical Guidance,0.252
2025-12-01,1,Seeking information,0.189
2025-12-01,1,Self-expression,0.065
2025-12-01,1,Technical help,0.607
2025-12-01,1,Writing,0.475
2026-01-01,0,Multimedia,0.626
2026-01-01,0,Other/Unknown,0.769
2026-01-01,0,Practical Guidance,0.746
2026-01-01,0,Seeking information,0.809
2026-01-01,0,Self-expression,0.924
2026-01-01,0,Technical help,0.416
2026-01-01,0,Writing,0.508
2026-01-01,1,Multimedia,0.374
2026-01-01,1,Other/Unknown,0.231
2026-01-01,1,Practical Guidance,0.254
2026-01-01,1,Seeking information,0.191
2026-01-01,1,Self-expression,0.076
2026-01-01,1,Technical help,0.584
2026-01-01,1,Writing,0.492
2026-02-01,0,Multimedia,0.622
2026-02-01,0,Other/Unknown,0.757
2026-02-01,0,Practical Guidance,0.743
2026-02-01,0,Seeking information,0.807
2026-02-01,0,Self-expression,0.919
2026-02-01,0,Technical help,0.424
2026-02-01,0,Writing,0.500
2026-02-01,1,Multimedia,0.378
2026-02-01,1,Other/Unknown,0.243
2026-02-01,1,Practical Guidance,0.257
2026-02-01,1,Seeking information,0.193
2026-02-01,1,Self-expression,0.081
2026-02-01,1,Technical help,0.576
2026-02-01,1,Writing,0.500
2026-03-01,0,Multimedia,0.618
2026-03-01,0,Other/Unknown,0.751
2026-03-01,0,Practical Guidance,0.742
2026-03-01,0,Seeking information,0.808
2026-03-01,0,Self-expression,0.913
2026-03-01,0,Technical help,0.443
2026-03-01,0,Writing,0.494
2026-03-01,1,Multimedia,0.382
2026-03-01,1,Other/Unknown,0.249
2026-03-01,1,Practical Guidance,0.258
2026-03-01,1,Seeking information,0.192
2026-03-01,1,Self-expression,0.087
2026-03-01,1,Technical help,0.557
2026-03-01,1,Writing,0.506
2026-04-01,0,Multimedia,0.592
2026-04-01,0,Other/Unknown,0.757
2026-04-01,0,Practical Guidance,0.742
2026-04-01,0,Seeking information,0.808
2026-04-01,0,Self-expression,0.917
2026-04-01,0,Technical help,0.451
2026-04-01,0,Writing,0.488
2026-04-01,1,Multimedia,0.408
2026-04-01,1,Other/Unknown,0.243
2026-04-01,1,Practical Guidance,0.258
2026-04-01,1,Seeking information,0.192
2026-04-01,1,Self-expression,0.083
2026-04-01,1,Technical help,0.549
2026-04-01,1,Writing,0.512
2026-05-01,0,Multimedia,0.620
2026-05-01,0,Other/Unknown,0.760
2026-05-01,0,Practical Guidance,0.746
2026-05-01,0,Seeking information,0.817
2026-05-01,0,Self-expression,0.916
2026-05-01,0,Technical help,0.460
2026-05-01,0,Writing,0.504
2026-05-01,1,Multimedia,0.380
2026-05-01,1,Other/Unknown,0.240
2026-05-01,1,Practical Guidance,0.254
2026-05-01,1,Seeking information,0.183
2026-05-01,1,Self-expression,0.084
2026-05-01,1,Technical help,0.540
2026-05-01,1,Writing,0.496
2026-06-01,0,Multimedia,0.601
2026-06-01,0,Other/Unknown,0.739
2026-06-01,0,Practical Guidance,0.757
2026-06-01,0,Seeking information,0.816
2026-06-01,0,Self-expression,0.904
2026-06-01,0,Technical help,0.445
2026-06-01,0,Writing,0.490
2026-06-01,1,Multimedia,0.399
2026-06-01,1,Other/Unknown,0.261
2026-06-01,1,Practical Guidance,0.243
2026-06-01,1,Seeking information,0.184
2026-06-01,1,Self-expression,0.096
2026-06-01,1,Technical help,0.555
2026-06-01,1,Writing,0.510
