month,country,topic,age_group,share_of_messages
2024-07-01,LK,Writing,65+,0.004
2024-07-01,MA,Practical Guidance,18-24,0.387
2024-07-01,MA,Practical Guidance,25-34,0.464
2024-07-01,MA,Practical Guidance,35-44,0.104
2024-07-01,MA,Practical Guidance,45-54,0.032
2024-07-01,MA,Practical Guidance,55-64,0.013
2024-07-01,MA,Practical Guidance,65+,0.000
2024-07-01,MA,Writing,18-24,0.296
2024-07-01,MA,Writing,25-34,0.557
2024-07-01,MA,Writing,35-44,0.107
2024-07-01,MA,Writing,45-54,0.011
2024-07-01,MA,Writing,55-64,0.000
2024-07-01,MA,Writing,65+,0.029
2024-07-01,MX,Practical Guidance,18-24,0.346
2024-07-01,MX,Practical Guidance,25-34,0.397
2024-07-01,MX,Practical Guidance,35-44,0.158
2024-07-01,MX,Practical Guidance,45-54,0.055
2024-07-01,MX,Practical Guidance,55-64,0.036
2024-07-01,MX,Practical Guidance,65+,0.008
2024-07-01,MX,Seeking information,18-24,0.378
2024-07-01,MX,Seeking information,25-34,0.381
2024-07-01,MX,Seeking information,35-44,0.145
2024-07-01,MX,Seeking information,45-54,0.060
2024-07-01,MX,Seeking information,55-64,0.010
2024-07-01,MX,Seeking information,65+,0.027
2024-07-01,MX,Technical help,18-24,0.320
2024-07-01,MX,Technical help,25-34,0.404
2024-07-01,MX,Technical help,35-44,0.167
2024-07-01,MX,Technical help,45-54,0.109
2024-07-01,MX,Technical help,55-64,0.000
2024-07-01,MX,Technical help,65+,0.000
2024-07-01,MX,Writing,18-24,0.278
2024-07-01,MX,Writing,25-34,0.405
2024-07-01,MX,Writing,35-44,0.213
2024-07-01,MX,Writing,45-54,0.075
2024-07-01,MX,Writing,55-64,0.027
2024-07-01,MX,Writing,65+,0.003
2024-07-01,MY,Practical Guidance,18-24,0.443
2024-07-01,MY,Practical Guidance,25-34,0.311
2024-07-01,MY,Practical Guidance,35-44,0.162
2024-07-01,MY,Practical Guidance,45-54,0.075
2024-07-01,MY,Practical Guidance,55-64,0.004
2024-07-01,MY,Practical Guidance,65+,0.004
2024-07-01,MY,Seeking information,18-24,0.418
2024-07-01,MY,Seeking information,25-34,0.386
2024-07-01,MY,Seeking information,35-44,0.163
2024-07-01,MY,Seeking information,45-54,0.009
2024-07-01,MY,Seeking information,55-64,0.000
2024-07-01,MY,Seeking information,65+,0.024
