month,country,topic,age_group,share_of_messages
2025-10-01,CL,Multimedia,25-34,0.324
2025-10-01,CL,Multimedia,35-44,0.216
2025-10-01,CL,Multimedia,45-54,0.130
2025-10-01,CL,Multimedia,55-64,0.000
2025-10-01,CL,Multimedia,65+,0.110
2025-10-01,CL,Practical Guidance,18-24,0.281
2025-10-01,CL,Practical Guidance,25-34,0.455
2025-10-01,CL,Practical Guidance,35-44,0.194
2025-10-01,CL,Practical Guidance,45-54,0.049
2025-10-01,CL,Practical Guidance,55-64,0.011
2025-10-01,CL,Practical Guidance,65+,0.010
2025-10-01,CL,Seeking information,18-24,0.248
2025-10-01,CL,Seeking information,25-34,0.464
2025-10-01,CL,Seeking information,35-44,0.170
2025-10-01,CL,Seeking information,45-54,0.096
2025-10-01,CL,Seeking information,55-64,0.015
2025-10-01,CL,Seeking information,65+,0.007
2025-10-01,CL,Self-expression,18-24,0.226
2025-10-01,CL,Self-expression,25-34,0.441
2025-10-01,CL,Self-expression,35-44,0.172
2025-10-01,CL,Self-expression,45-54,0.124
2025-10-01,CL,Self-expression,55-64,0.037
2025-10-01,CL,Self-expression,65+,0.000
2025-10-01,CL,Writing,18-24,0.270
2025-10-01,CL,Writing,25-34,0.373
2025-10-01,CL,Writing,35-44,0.193
2025-10-01,CL,Writing,45-54,0.087
2025-10-01,CL,Writing,55-64,0.058
2025-10-01,CL,Writing,65+,0.019
2025-10-01,CO,Multimedia,18-24,0.198
2025-10-01,CO,Multimedia,25-34,0.449
2025-10-01,CO,Multimedia,35-44,0.182
2025-10-01,CO,Multimedia,45-54,0.084
2025-10-01,CO,Multimedia,55-64,0.049
2025-10-01,CO,Multimedia,65+,0.037
2025-10-01,CO,Other/Unknown,18-24,0.252
2025-10-01,CO,Other/Unknown,25-34,0.384
2025-10-01,CO,Other/Unknown,35-44,0.204
2025-10-01,CO,Other/Unknown,45-54,0.091
2025-10-01,CO,Other/Unknown,55-64,0.043
2025-10-01,CO,Other/Unknown,65+,0.026
2025-10-01,CO,Practical Guidance,18-24,0.341
2025-10-01,CO,Practical Guidance,25-34,0.401
2025-10-01,CO,Practical Guidance,35-44,0.137
2025-10-01,CO,Practical Guidance,45-54,0.061
2025-10-01,CO,Practical Guidance,55-64,0.032
2025-10-01,CO,Practical Guidance,65+,0.028
2025-10-01,CO,Seeking information,18-24,0.318
2025-10-01,CO,Seeking information,25-34,0.403
2025-10-01,CO,Seeking information,35-44,0.194
2025-10-01,CO,Seeking information,45-54,0.052
2025-10-01,CO,Seeking information,55-64,0.030
2025-10-01,CO,Seeking information,65+,0.004
2025-10-01,CO,Self-expression,18-24,0.239
2025-10-01,CO,Self-expression,25-34,0.443
2025-10-01,CO,Self-expression,35-44,0.173
2025-10-01,CO,Self-expression,45-54,0.096
2025-10-01,CO,Self-expression,55-64,0.002
2025-10-01,CO,Self-expression,65+,0.047
2025-10-01,CO,Technical help,18-24,0.347
2025-10-01,CO,Technical help,25-34,0.434
2025-10-01,CO,Technical help,35-44,0.157
2025-10-01,CO,Technical help,45-54,0.042
2025-10-01,CO,Technical help,55-64,0.000
2025-10-01,CO,Technical help,65+,0.019
2025-10-01,CO,Writing,18-24,0.293
2025-10-01,CO,Writing,25-34,0.402
2025-10-01,CO,Writing,35-44,0.165
2025-10-01,CO,Writing,45-54,0.097
2025-10-01,CO,Writing,55-64,0.025
2025-10-01,CO,Writing,65+,0.018
2025-10-01,CZ,Practical Guidance,18-24,0.266
2025-10-01,CZ,Practical Guidance,25-34,0.476
2025-10-01,CZ,Practical Guidance,35-44,0.138
2025-10-01,CZ,Practical Guidance,45-54,0.075
2025-10-01,CZ,Practical Guidance,55-64,0.033
2025-10-01,CZ,Practical Guidance,65+,0.012
2025-10-01,CZ,Seeking information,18-24,0.230
2025-10-01,CZ,Seeking information,25-34,0.316
2025-10-01,CZ,Seeking information,35-44,0.200
2025-10-01,CZ,Seeking information,45-54,0.142
2025-10-01,CZ,Seeking information,55-64,0.082
2025-10-01,CZ,Seeking information,65+,0.031
2025-10-01,CZ,Writing,18-24,0.226
2025-10-01,CZ,Writing,25-34,0.384
2025-10-01,CZ,Writing,35-44,0.240
2025-10-01,CZ,Writing,45-54,0.072
2025-10-01,CZ,Writing,55-64,0.035
2025-10-01,CZ,Writing,65+,0.043
2025-10-01,DE,Multimedia,18-24,0.191
2025-10-01,DE,Multimedia,25-34,0.354
2025-10-01,DE,Multimedia,35-44,0.249
2025-10-01,DE,Multimedia,45-54,0.127
2025-10-01,DE,Multimedia,55-64,0.069
2025-10-01,DE,Multimedia,65+,0.009
2025-10-01,DE,Other/Unknown,18-24,0.246
2025-10-01,DE,Other/Unknown,25-34,0.337
2025-10-01,DE,Other/Unknown,35-44,0.231
2025-10-01,DE,Other/Unknown,45-54,0.095
2025-10-01,DE,Other/Unknown,55-64,0.044
2025-10-01,DE,Other/Unknown,65+,0.046
2025-10-01,DE,Practical Guidance,18-24,0.268
2025-10-01,DE,Practical Guidance,25-34,0.404
2025-10-01,DE,Practical Guidance,35-44,0.205
2025-10-01,DE,Practical Guidance,45-54,0.076
2025-10-01,DE,Practical Guidance,55-64,0.024
2025-10-01,DE,Practical Guidance,65+,0.024
2025-10-01,DE,Seeking information,18-24,0.257
2025-10-01,DE,Seeking information,25-34,0.374
2025-10-01,DE,Seeking information,35-44,0.200
2025-10-01,DE,Seeking information,45-54,0.097
2025-10-01,DE,Seeking information,55-64,0.047
2025-10-01,DE,Seeking information,65+,0.025
2025-10-01,DE,Self-expression,18-24,0.300
2025-10-01,DE,Self-expression,25-34,0.398
2025-10-01,DE,Self-expression,35-44,0.172
2025-10-01,DE,Self-expression,45-54,0.076
2025-10-01,DE,Self-expression,55-64,0.038
2025-10-01,DE,Self-expression,65+,0.017
2025-10-01,DE,Technical help,18-24,0.255
2025-10-01,DE,Technical help,25-34,0.408
2025-10-01,DE,Technical help,35-44,0.205
2025-10-01,DE,Technical help,45-54,0.086
2025-10-01,DE,Technical help,55-64,0.032
2025-10-01,DE,Technical help,65+,0.015
2025-10-01,DE,Writing,18-24,0.243
2025-10-01,DE,Writing,25-34,0.370
2025-10-01,DE,Writing,35-44,0.234
2025-10-01,DE,Writing,45-54,0.095
2025-10-01,DE,Writing,55-64,0.042
2025-10-01,DE,Writing,65+,0.016
2025-10-01,DK,Practical Guidance,18-24,0.239
2025-10-01,DK,Practical Guidance,25-34,0.335
2025-10-01,DK,Practical Guidance,35-44,0.240
2025-10-01,DK,Practical Guidance,45-54,0.083
2025-10-01,DK,Practical Guidance,55-64,0.063
2025-10-01,DK,Practical Guidance,65+,0.040
2025-10-01,DK,Writing,18-24,0.238
2025-10-01,DK,Writing,25-34,0.375
2025-10-01,DK,Writing,35-44,0.184
2025-10-01,DK,Writing,45-54,0.101
2025-10-01,DK,Writing,55-64,0.065
2025-10-01,DK,Writing,65+,0.037
2025-10-01,DO,Practical Guidance,18-24,0.366
2025-10-01,DO,Practical Guidance,25-34,0.381
2025-10-01,DO,Practical Guidance,35-44,0.132
2025-10-01,DO,Practical Guidance,45-54,0.033
2025-10-01,DO,Practical Guidance,55-64,0.060
2025-10-01,DO,Practical Guidance,65+,0.027
2025-10-01,DO,Writing,18-24,0.397
2025-10-01,DO,Writing,25-34,0.393
2025-10-01,DO,Writing,35-44,0.089
2025-10-01,DO,Writing,45-54,0.030
2025-10-01,DO,Writing,55-64,0.048
2025-10-01,DO,Writing,65+,0.042
2025-10-01,DZ,Multimedia,18-24,0.294
2025-10-01,DZ,Multimedia,25-34,0.413
2025-10-01,DZ,Multimedia,35-44,0.184
2025-10-01,DZ,Multimedia,45-54,0.085
2025-10-01,DZ,Multimedia,55-64,0.016
2025-10-01,DZ,Multimedia,65+,0.008
2025-10-01,DZ,Other/Unknown,18-24,0.405
2025-10-01,DZ,Other/Unknown,25-34,0.314
2025-10-01,DZ,Other/Unknown,35-44,0.118
2025-10-01,DZ,Other/Unknown,45-54,0.084
2025-10-01,DZ,Other/Unknown,55-64,0.032
2025-10-01,DZ,Other/Unknown,65+,0.047
2025-10-01,DZ,Practical Guidance,18-24,0.436
2025-10-01,DZ,Practical Guidance,25-34,0.321
2025-10-01,DZ,Practical Guidance,35-44,0.111
2025-10-01,DZ,Practical Guidance,45-54,0.064
2025-10-01,DZ,Practical Guidance,55-64,0.029
2025-10-01,DZ,Practical Guidance,65+,0.039
2025-10-01,DZ,Seeking information,18-24,0.406
2025-10-01,DZ,Seeking information,25-34,0.344
2025-10-01,DZ,Seeking information,35-44,0.129
2025-10-01,DZ,Seeking information,45-54,0.054
2025-10-01,DZ,Seeking information,55-64,0.028
2025-10-01,DZ,Seeking information,65+,0.040
2025-10-01,DZ,Self-expression,18-24,0.412
2025-10-01,DZ,Self-expression,25-34,0.390
2025-10-01,DZ,Self-expression,35-44,0.092
2025-10-01,DZ,Self-expression,45-54,0.064
2025-10-01,DZ,Self-expression,55-64,0.021
2025-10-01,DZ,Self-expression,65+,0.022
2025-10-01,DZ,Writing,18-24,0.465
2025-10-01,DZ,Writing,25-34,0.294
2025-10-01,DZ,Writing,35-44,0.116
2025-10-01,DZ,Writing,45-54,0.056
2025-10-01,DZ,Writing,55-64,0.034
2025-10-01,DZ,Writing,65+,0.035
2025-10-01,EC,Practical Guidance,18-24,0.443
2025-10-01,EC,Practical Guidance,25-34,0.337
2025-10-01,EC,Practical Guidance,35-44,0.113
2025-10-01,EC,Practical Guidance,45-54,0.063
2025-10-01,EC,Practical Guidance,55-64,0.033
2025-10-01,EC,Practical Guidance,65+,0.011
2025-10-01,EC,Seeking information,18-24,0.351
2025-10-01,EC,Seeking information,25-34,0.375
2025-10-01,EC,Seeking information,35-44,0.114
2025-10-01,EC,Seeking information,45-54,0.084
2025-10-01,EC,Seeking information,55-64,0.029
2025-10-01,EC,Seeking information,65+,0.048
2025-10-01,EC,Writing,18-24,0.322
2025-10-01,EC,Writing,25-34,0.381
2025-10-01,EC,Writing,35-44,0.155
2025-10-01,EC,Writing,45-54,0.099
2025-10-01,EC,Writing,55-64,0.015
2025-10-01,EC,Writing,65+,0.028
2025-10-01,EG,Multimedia,18-24,0.381
2025-10-01,EG,Multimedia,25-34,0.340
2025-10-01,EG,Multimedia,35-44,0.162
2025-10-01,EG,Multimedia,45-54,0.045
2025-10-01,EG,Multimedia,55-64,0.033
2025-10-01,EG,Multimedia,65+,0.039
2025-10-01,EG,Other/Unknown,18-24,0.471
2025-10-01,EG,Other/Unknown,25-34,0.353
2025-10-01,EG,Other/Unknown,35-44,0.115
2025-10-01,EG,Other/Unknown,45-54,0.023
2025-10-01,EG,Other/Unknown,55-64,0.000
2025-10-01,EG,Other/Unknown,65+,0.038
2025-10-01,EG,Practical Guidance,18-24,0.456
2025-10-01,EG,Practical Guidance,25-34,0.345
2025-10-01,EG,Practical Guidance,35-44,0.114
2025-10-01,EG,Practical Guidance,45-54,0.034
2025-10-01,EG,Practical Guidance,55-64,0.021
2025-10-01,EG,Practical Guidance,65+,0.030
2025-10-01,EG,Seeking information,18-24,0.431
2025-10-01,EG,Seeking information,25-34,0.349
2025-10-01,EG,Seeking information,35-44,0.120
2025-10-01,EG,Seeking information,45-54,0.056
2025-10-01,EG,Seeking information,55-64,0.015
2025-10-01,EG,Seeking information,65+,0.029
2025-10-01,EG,Self-expression,18-24,0.430
2025-10-01,EG,Self-expression,25-34,0.340
2025-10-01,EG,Self-expression,35-44,0.122
2025-10-01,EG,Self-expression,45-54,0.044
2025-10-01,EG,Self-expression,55-64,0.032
2025-10-01,EG,Self-expression,65+,0.033
2025-10-01,EG,Technical help,18-24,0.393
2025-10-01,EG,Technical help,25-34,0.373
2025-10-01,EG,Technical help,35-44,0.176
2025-10-01,EG,Technical help,45-54,0.058
2025-10-01,EG,Technical help,55-64,0.000
2025-10-01,EG,Technical help,65+,0.000
2025-10-01,EG,Writing,18-24,0.427
2025-10-01,EG,Writing,25-34,0.333
2025-10-01,EG,Writing,35-44,0.148
2025-10-01,EG,Writing,45-54,0.059
2025-10-01,EG,Writing,55-64,0.019
2025-10-01,EG,Writing,65+,0.014
2025-10-01,ES,Multimedia,18-24,0.189
2025-10-01,ES,Multimedia,25-34,0.261
2025-10-01,ES,Multimedia,35-44,0.271
2025-10-01,ES,Multimedia,45-54,0.182
2025-10-01,ES,Multimedia,55-64,0.092
2025-10-01,ES,Multimedia,65+,0.005
2025-10-01,ES,Other/Unknown,18-24,0.169
2025-10-01,ES,Other/Unknown,25-34,0.377
2025-10-01,ES,Other/Unknown,35-44,0.150
2025-10-01,ES,Other/Unknown,45-54,0.222
2025-10-01,ES,Other/Unknown,55-64,0.080
2025-10-01,ES,Other/Unknown,65+,0.002
2025-10-01,ES,Practical Guidance,18-24,0.289
2025-10-01,ES,Practical Guidance,25-34,0.345
2025-10-01,ES,Practical Guidance,35-44,0.195
2025-10-01,ES,Practical Guidance,45-54,0.104
2025-10-01,ES,Practical Guidance,55-64,0.049
2025-10-01,ES,Practical Guidance,65+,0.018
2025-10-01,ES,Seeking information,18-24,0.219
2025-10-01,ES,Seeking information,25-34,0.357
2025-10-01,ES,Seeking information,35-44,0.184
2025-10-01,ES,Seeking information,45-54,0.149
2025-10-01,ES,Seeking information,55-64,0.071
2025-10-01,ES,Seeking information,65+,0.019
2025-10-01,ES,Self-expression,18-24,0.202
2025-10-01,ES,Self-expression,25-34,0.376
2025-10-01,ES,Self-expression,35-44,0.229
2025-10-01,ES,Self-expression,45-54,0.109
2025-10-01,ES,Self-expression,55-64,0.038
2025-10-01,ES,Self-expression,65+,0.047
2025-10-01,ES,Technical help,18-24,0.206
2025-10-01,ES,Technical help,25-34,0.408
2025-10-01,ES,Technical help,35-44,0.201
2025-10-01,ES,Technical help,45-54,0.114
2025-10-01,ES,Technical help,55-64,0.045
2025-10-01,ES,Technical help,65+,0.027
2025-10-01,ES,Writing,18-24,0.238
2025-10-01,ES,Writing,25-34,0.376
2025-10-01,ES,Writing,35-44,0.170
2025-10-01,ES,Writing,45-54,0.133
2025-10-01,ES,Writing,55-64,0.060
2025-10-01,ES,Writing,65+,0.023
2025-10-01,FI,Practical Guidance,18-24,0.366
2025-10-01,FI,Practical Guidance,25-34,0.372
2025-10-01,FI,Practical Guidance,35-44,0.160
2025-10-01,FI,Practical Guidance,45-54,0.056
2025-10-01,FI,Practical Guidance,55-64,0.012
2025-10-01,FI,Practical Guidance,65+,0.034
2025-10-01,FI,Seeking information,18-24,0.344
2025-10-01,FI,Seeking information,25-34,0.305
2025-10-01,FI,Seeking information,35-44,0.197
2025-10-01,FI,Seeking information,45-54,0.069
2025-10-01,FI,Seeking information,55-64,0.041
2025-10-01,FI,Seeking information,65+,0.045
2025-10-01,FI,Writing,18-24,0.259
2025-10-01,FI,Writing,25-34,0.407
2025-10-01,FI,Writing,35-44,0.204
2025-10-01,FI,Writing,45-54,0.068
2025-10-01,FI,Writing,55-64,0.045
2025-10-01,FI,Writing,65+,0.017
2025-10-01,FR,Multimedia,18-24,0.185
2025-10-01,FR,Multimedia,25-34,0.323
2025-10-01,FR,Multimedia,35-44,0.219
2025-10-01,FR,Multimedia,45-54,0.148
2025-10-01,FR,Multimedia,55-64,0.089
2025-10-01,FR,Multimedia,65+,0.035
2025-10-01,FR,Other/Unknown,18-24,0.190
2025-10-01,FR,Other/Unknown,25-34,0.413
2025-10-01,FR,Other/Unknown,35-44,0.212
2025-10-01,FR,Other/Unknown,45-54,0.111
2025-10-01,FR,Other/Unknown,55-64,0.056
2025-10-01,FR,Other/Unknown,65+,0.018
2025-10-01,FR,Practical Guidance,18-24,0.299
2025-10-01,FR,Practical Guidance,25-34,0.374
2025-10-01,FR,Practical Guidance,35-44,0.171
2025-10-01,FR,Practical Guidance,45-54,0.097
2025-10-01,FR,Practical Guidance,55-64,0.037
2025-10-01,FR,Practical Guidance,65+,0.022
2025-10-01,FR,Seeking information,18-24,0.286
2025-10-01,FR,Seeking information,25-34,0.361
2025-10-01,FR,Seeking information,35-44,0.181
2025-10-01,FR,Seeking information,45-54,0.097
2025-10-01,FR,Seeking information,55-64,0.045
2025-10-01,FR,Seeking information,65+,0.029
2025-10-01,FR,Self-expression,18-24,0.251
2025-10-01,FR,Self-expression,25-34,0.340
2025-10-01,FR,Self-expression,35-44,0.191
2025-10-01,FR,Self-expression,45-54,0.143
2025-10-01,FR,Self-expression,55-64,0.055
2025-10-01,FR,Self-expression,65+,0.020
2025-10-01,FR,Technical help,18-24,0.256
2025-10-01,FR,Technical help,25-34,0.391
2025-10-01,FR,Technical help,35-44,0.174
2025-10-01,FR,Technical help,45-54,0.103
2025-10-01,FR,Technical help,55-64,0.040
2025-10-01,FR,Technical help,65+,0.036
2025-10-01,FR,Writing,18-24,0.264
2025-10-01,FR,Writing,25-34,0.369
2025-10-01,FR,Writing,35-44,0.189
2025-10-01,FR,Writing,45-54,0.119
2025-10-01,FR,Writing,55-64,0.049
2025-10-01,FR,Writing,65+,0.011
2025-10-01,GB,Multimedia,18-24,0.227
2025-10-01,GB,Multimedia,25-34,0.333
2025-10-01,GB,Multimedia,35-44,0.247
2025-10-01,GB,Multimedia,45-54,0.107
2025-10-01,GB,Multimedia,55-64,0.049
2025-10-01,GB,Multimedia,65+,0.039
2025-10-01,GB,Other/Unknown,18-24,0.158
2025-10-01,GB,Other/Unknown,25-34,0.368
2025-10-01,GB,Other/Unknown,35-44,0.206
2025-10-01,GB,Other/Unknown,45-54,0.146
2025-10-01,GB,Other/Unknown,55-64,0.082
2025-10-01,GB,Other/Unknown,65+,0.040
2025-10-01,GB,Practical Guidance,18-24,0.301
2025-10-01,GB,Practical Guidance,25-34,0.362
2025-10-01,GB,Practical Guidance,35-44,0.196
2025-10-01,GB,Practical Guidance,45-54,0.087
2025-10-01,GB,Practical Guidance,55-64,0.040
2025-10-01,GB,Practical Guidance,65+,0.014
2025-10-01,GB,Seeking information,18-24,0.235
2025-10-01,GB,Seeking information,25-34,0.343
2025-10-01,GB,Seeking information,35-44,0.226
2025-10-01,GB,Seeking information,45-54,0.124
2025-10-01,GB,Seeking information,55-64,0.047
2025-10-01,GB,Seeking information,65+,0.025
2025-10-01,GB,Self-expression,18-24,0.271
2025-10-01,GB,Self-expression,25-34,0.367
2025-10-01,GB,Self-expression,35-44,0.235
2025-10-01,GB,Self-expression,45-54,0.083
2025-10-01,GB,Self-expression,55-64,0.024
2025-10-01,GB,Self-expression,65+,0.019
2025-10-01,GB,Technical help,18-24,0.243
2025-10-01,GB,Technical help,25-34,0.337
2025-10-01,GB,Technical help,35-44,0.265
2025-10-01,GB,Technical help,45-54,0.085
2025-10-01,GB,Technical help,55-64,0.052
2025-10-01,GB,Technical help,65+,0.017
2025-10-01,GB,Writing,18-24,0.213
2025-10-01,GB,Writing,25-34,0.359
2025-10-01,GB,Writing,35-44,0.242
2025-10-01,GB,Writing,45-54,0.134
2025-10-01,GB,Writing,55-64,0.041
2025-10-01,GB,Writing,65+,0.011
2025-10-01,GE,Practical Guidance,18-24,0.268
2025-10-01,GE,Practical Guidance,25-34,0.382
2025-10-01,GE,Practical Guidance,35-44,0.176
2025-10-01,GE,Practical Guidance,45-54,0.081
2025-10-01,GE,Practical Guidance,55-64,0.058
2025-10-01,GE,Practical Guidance,65+,0.036
2025-10-01,GH,Practical Guidance,18-24,0.321
2025-10-01,GH,Practical Guidance,25-34,0.378
2025-10-01,GH,Practical Guidance,35-44,0.189
2025-10-01,GH,Practical Guidance,45-54,0.006
2025-10-01,GH,Practical Guidance,55-64,0.024
2025-10-01,GH,Practical Guidance,65+,0.081
2025-10-01,GH,Writing,18-24,0.309
2025-10-01,GH,Writing,25-34,0.404
2025-10-01,GH,Writing,35-44,0.202
2025-10-01,GH,Writing,45-54,0.050
2025-10-01,GH,Writing,55-64,0.036
2025-10-01,GH,Writing,65+,0.000
2025-10-01,GR,Practical Guidance,18-24,0.215
2025-10-01,GR,Practical Guidance,25-34,0.371
2025-10-01,GR,Practical Guidance,35-44,0.210
2025-10-01,GR,Practical Guidance,45-54,0.164
2025-10-01,GR,Practical Guidance,55-64,0.023
2025-10-01,GR,Practical Guidance,65+,0.017
2025-10-01,GR,Seeking information,18-24,0.203
2025-10-01,GR,Seeking information,25-34,0.349
2025-10-01,GR,Seeking information,35-44,0.270
2025-10-01,GR,Seeking information,45-54,0.097
2025-10-01,GR,Seeking information,55-64,0.060
2025-10-01,GR,Seeking information,65+,0.022
2025-10-01,GR,Self-expression,18-24,0.188
2025-10-01,GR,Self-expression,25-34,0.316
2025-10-01,GR,Self-expression,35-44,0.308
2025-10-01,GR,Self-expression,45-54,0.174
2025-10-01,GR,Self-expression,55-64,0.014
2025-10-01,GR,Self-expression,65+,0.000
2025-10-01,GR,Writing,18-24,0.200
2025-10-01,GR,Writing,25-34,0.268
2025-10-01,GR,Writing,35-44,0.255
2025-10-01,GR,Writing,45-54,0.146
2025-10-01,GR,Writing,55-64,0.083
2025-10-01,GR,Writing,65+,0.047
2025-10-01,HU,Practical Guidance,18-24,0.242
2025-10-01,HU,Practical Guidance,25-34,0.427
2025-10-01,HU,Practical Guidance,35-44,0.175
2025-10-01,HU,Practical Guidance,45-54,0.094
2025-10-01,HU,Practical Guidance,55-64,0.036
2025-10-01,HU,Practical Guidance,65+,0.026
2025-10-01,HU,Seeking information,18-24,0.234
2025-10-01,HU,Seeking information,25-34,0.379
2025-10-01,HU,Seeking information,35-44,0.185
2025-10-01,HU,Seeking information,45-54,0.163
2025-10-01,HU,Seeking information,55-64,0.021
2025-10-01,HU,Seeking information,65+,0.017
2025-10-01,HU,Writing,18-24,0.210
2025-10-01,HU,Writing,25-34,0.387
2025-10-01,HU,Writing,35-44,0.165
2025-10-01,HU,Writing,45-54,0.174
2025-10-01,HU,Writing,55-64,0.042
2025-10-01,HU,Writing,65+,0.021
2025-10-01,ID,Multimedia,18-24,0.442
2025-10-01,ID,Multimedia,25-34,0.338
2025-10-01,ID,Multimedia,35-44,0.106
2025-10-01,ID,Multimedia,45-54,0.071
2025-10-01,ID,Multimedia,55-64,0.016
2025-10-01,ID,Multimedia,65+,0.026
2025-10-01,ID,Other/Unknown,18-24,0.419
2025-10-01,ID,Other/Unknown,25-34,0.337
2025-10-01,ID,Other/Unknown,35-44,0.108
2025-10-01,ID,Other/Unknown,45-54,0.047
2025-10-01,ID,Other/Unknown,55-64,0.045
2025-10-01,ID,Other/Unknown,65+,0.044
2025-10-01,ID,Practical Guidance,18-24,0.512
2025-10-01,ID,Practical Guidance,25-34,0.344
2025-10-01,ID,Practical Guidance,35-44,0.079
2025-10-01,ID,Practical Guidance,45-54,0.033
2025-10-01,ID,Practical Guidance,55-64,0.014
2025-10-01,ID,Practical Guidance,65+,0.019
2025-10-01,ID,Seeking information,18-24,0.460
2025-10-01,ID,Seeking information,25-34,0.351
2025-10-01,ID,Seeking information,35-44,0.108
2025-10-01,ID,Seeking information,45-54,0.049
2025-10-01,ID,Seeking information,55-64,0.014
2025-10-01,ID,Seeking information,65+,0.018
2025-10-01,ID,Self-expression,18-24,0.459
2025-10-01,ID,Self-expression,25-34,0.386
2025-10-01,ID,Self-expression,35-44,0.104
2025-10-01,ID,Self-expression,45-54,0.029
2025-10-01,ID,Self-expression,55-64,0.000
2025-10-01,ID,Self-expression,65+,0.023
2025-10-01,ID,Technical help,18-24,0.459
2025-10-01,ID,Technical help,25-34,0.367
2025-10-01,ID,Technical help,35-44,0.091
2025-10-01,ID,Technical help,45-54,0.045
2025-10-01,ID,Technical help,55-64,0.021
2025-10-01,ID,Technical help,65+,0.016
2025-10-01,ID,Writing,18-24,0.510
2025-10-01,ID,Writing,25-34,0.349
2025-10-01,ID,Writing,35-44,0.082
2025-10-01,ID,Writing,45-54,0.036
2025-10-01,ID,Writing,55-64,0.009
2025-10-01,ID,Writing,65+,0.013
2025-10-01,IL,Practical Guidance,18-24,0.272
2025-10-01,IL,Practical Guidance,25-34,0.337
2025-10-01,IL,Practical Guidance,35-44,0.166
2025-10-01,IL,Practical Guidance,45-54,0.110
2025-10-01,IL,Practical Guidance,55-64,0.075
2025-10-01,IL,Practical Guidance,65+,0.041
2025-10-01,IL,Seeking information,18-24,0.244
2025-10-01,IL,Seeking information,25-34,0.313
2025-10-01,IL,Seeking information,35-44,0.188
2025-10-01,IL,Seeking information,45-54,0.116
2025-10-01,IL,Seeking information,55-64,0.065
2025-10-01,IL,Seeking information,65+,0.075
2025-10-01,IL,Self-expression,18-24,0.278
2025-10-01,IL,Self-expression,25-34,0.328
2025-10-01,IL,Self-expression,35-44,0.126
2025-10-01,IL,Self-expression,45-54,0.098
2025-10-01,IL,Self-expression,55-64,0.082
2025-10-01,IL,Self-expression,65+,0.088
2025-10-01,IL,Writing,18-24,0.255
2025-10-01,IL,Writing,25-34,0.346
2025-10-01,IL,Writing,35-44,0.197
2025-10-01,IL,Writing,45-54,0.139
2025-10-01,IL,Writing,55-64,0.029
2025-10-01,IL,Writing,65+,0.034
2025-10-01,IN,Multimedia,18-24,0.414
2025-10-01,IN,Multimedia,25-34,0.322
2025-10-01,IN,Multimedia,35-44,0.162
2025-10-01,IN,Multimedia,45-54,0.060
2025-10-01,IN,Multimedia,55-64,0.024
2025-10-01,IN,Multimedia,65+,0.018
2025-10-01,IN,Other/Unknown,18-24,0.448
2025-10-01,IN,Other/Unknown,25-34,0.316
2025-10-01,IN,Other/Unknown,35-44,0.149
2025-10-01,IN,Other/Unknown,45-54,0.045
2025-10-01,IN,Other/Unknown,55-64,0.016
2025-10-01,IN,Other/Unknown,65+,0.025
2025-10-01,IN,Practical Guidance,18-24,0.504
2025-10-01,IN,Practical Guidance,25-34,0.310
2025-10-01,IN,Practical Guidance,35-44,0.115
2025-10-01,IN,Practical Guidance,45-54,0.039
2025-10-01,IN,Practical Guidance,55-64,0.012
2025-10-01,IN,Practical Guidance,65+,0.020
2025-10-01,IN,Seeking information,18-24,0.460
2025-10-01,IN,Seeking information,25-34,0.334
2025-10-01,IN,Seeking information,35-44,0.126
2025-10-01,IN,Seeking information,45-54,0.048
2025-10-01,IN,Seeking information,55-64,0.014
2025-10-01,IN,Seeking information,65+,0.018
2025-10-01,IN,Self-expression,18-24,0.489
2025-10-01,IN,Self-expression,25-34,0.310
2025-10-01,IN,Self-expression,35-44,0.105
2025-10-01,IN,Self-expression,45-54,0.052
2025-10-01,IN,Self-expression,55-64,0.013
2025-10-01,IN,Self-expression,65+,0.031
2025-10-01,IN,Technical help,18-24,0.526
2025-10-01,IN,Technical help,25-34,0.342
2025-10-01,IN,Technical help,35-44,0.079
2025-10-01,IN,Technical help,45-54,0.029
2025-10-01,IN,Technical help,55-64,0.014
2025-10-01,IN,Technical help,65+,0.011
2025-10-01,IN,Writing,18-24,0.421
2025-10-01,IN,Writing,25-34,0.364
2025-10-01,IN,Writing,35-44,0.138
2025-10-01,IN,Writing,45-54,0.047
2025-10-01,IN,Writing,55-64,0.015
2025-10-01,IN,Writing,65+,0.015
2025-10-01,IQ,Multimedia,18-24,0.453
2025-10-01,IQ,Multimedia,25-34,0.320
2025-10-01,IQ,Multimedia,35-44,0.097
2025-10-01,IQ,Multimedia,45-54,0.034
2025-10-01,IQ,Multimedia,55-64,0.017
2025-10-01,IQ,Multimedia,65+,0.080
2025-10-01,IQ,Other/Unknown,18-24,0.483
2025-10-01,IQ,Other/Unknown,25-34,0.332
2025-10-01,IQ,Other/Unknown,35-44,0.025
2025-10-01,IQ,Other/Unknown,45-54,0.044
2025-10-01,IQ,Other/Unknown,55-64,0.069
2025-10-01,IQ,Other/Unknown,65+,0.047
2025-10-01,IQ,Practical Guidance,18-24,0.469
2025-10-01,IQ,Practical Guidance,25-34,0.346
2025-10-01,IQ,Practical Guidance,35-44,0.096
2025-10-01,IQ,Practical Guidance,45-54,0.021
